        1802
           3          23           7           9  0.1323201               1
          12          52          44          48  0.1596117               1
           1          31          10          13  0.1171710               1
           3          43          11          15  0.1365495               1
           2          62          32          38  8.7749816E-02           1
          47          57          52          53  0.1076222               1
          46          56          52          53  0.1192913               1
          46          56          47          48  6.0592514E-02           1
          51          61          52          53  0.1396763               1
           2          52          12          17  0.1255609               1
          40          50          47          48  8.8360786E-02           1
          45          55          47          48  8.9109957E-02           1
          45          55          52          53  0.1778214               1
           8          58          13          18  0.1955399               1
          39          49          47          48  6.4904600E-02           1
          44          54          52          53  0.1558669               1
          44          54          47          48  6.2194888E-02           1
          15          55          31          35  9.8074026E-02           1
          43          53          47          48  5.6769174E-02           1
           2          12           8           9  0.1121950               1
           5          55          10          15  0.2172262               1
          42          52          47          48  5.8711145E-02           1
          20          60          32          36  0.1020399               1
           5          15          12          13  0.1760883               1
          37          57          53          55  0.1916784               1
           4          14          12          13  0.1380247               1
           5          15          10          11  0.1329463               1
          36          56          48          50  8.6199671E-02           1
          41          61          53          55  9.5888831E-02           1
           2          62          14          20  0.1412623               1
           3          23          13          15  9.6214630E-02           1
           2          22          10          12  0.1201938               1
          32          42          33          34  0.1221631               1
           7          47          35          39  0.1062211               1
          11          61          36          41  7.7994473E-02           1
          26          36          33          34  0.1581829               1
          31          41          33          34  0.1701693               1
           6          36          15          18  0.1034939               1
          20          40          34          36  0.1236120               1
           4          24           8          10  0.1395469               1
           7          47          39          43  0.1481868               1
           2          52           7          12  0.2215701               1
          24          44          34          36  9.0197138E-02           1
           3          33          15          18  9.2801824E-02           1
           6          46          10          14  0.2271800               1
          18          38          34          36  0.1964933               1
           7          37          19          22  9.4748624E-02           1
           6          16           7           8  0.1180710               1
          22          42          34          36  9.9999383E-02           1
          10          50          22          26  8.6857609E-02           1
           1          51          41          46  0.1656503               1
          37          57          39          41  0.1874252               1
           5          55          40          45  0.1115107               1
           7          57          42          47  0.1101054               1
          13          63          18          23  0.2471674               1
           4          34          19          22  9.1959037E-02           1
          33          63          36          39  0.1950533               1
          32          62          41          44  9.8572247E-02           1
           4          44          20          24  7.8449897E-02           1
           6          26           8          10  0.2275638               1
           6          46          22          26  7.5678267E-02           1
          14          44          35          38  0.1116490               1
           8          18          10          11  0.1845520               1
           3          13           9          10  0.1297532               1
          34          64          40          43  0.1175022               1
           3          13          10          11  0.1974165               1
          24          54          36          39  8.1885993E-02           1
          13          33          15          17  0.2320593               1
          21          51          39          42  8.7725341E-02           1
          11          41          35          38  0.1734262               1
          19          39          21          23  0.2755657               1
          15          45          39          42  0.1503250               1
          31          61          40          43  9.0249442E-02           1
          11          31          15          17  0.1340144               1
          18          58          42          46  8.4864631E-02           1
          15          35          19          21  0.1578732               1
          10          20          18          19  0.1927364               1
          22          62          42          46  7.8873403E-02           1
          13          33          19          21  0.1209094               1
          16          46          22          25  0.1141236               1
           7          37          10          13  0.2363937               1
          12          52          40          44  0.1114011               1
          14          54          42          46  0.1063966               1
          11          31          19          21  0.1038352               1
          14          44          17          20  0.2717642               1
          13          43          22          25  8.7785281E-02           1
          38          48          39          40  0.1066737               1
          43          53          44          45  8.8901393E-02           1
          13          63          43          48  8.4883437E-02           1
          37          47          39          40  0.1294067               1
          37          47          44          45  0.1244568               1
          36          46          39          40  9.7168565E-02           1
          35          45          39          40  8.7741032E-02           1
          34          44          39          40  8.6273491E-02           1
           7          17           8           9  0.1170889               1
          33          43          39          40  9.0958446E-02           1
          12          62          47          52  0.1013739               1
          40          60          46          48  8.5924007E-02           1
          33          53          45          47  9.3197830E-02           1
           7          37          31          34  0.2119258               1
          39          59          51          53  0.1070482               1
          44          64          46          48  0.1816463               1
           6          16          10          11  0.1373118               1
          38          58          46          48  7.8723773E-02           1
          43          63          51          53  9.6766762E-02           1
          31          51          45          47  0.1163525               1
          37          57          51          53  0.1337354               1
           1          21           5           7  0.1571975               1
          42          62          46          48  0.1055305               1
           5          25          11          13  0.1212857               1
          40          60          50          52  8.3436139E-02           1
           3          13           4           5  7.3108040E-02           1
          33          53          49          51  0.1819099               1
          13          23          19          20  0.1488887               1
          24          34          25          26  9.9940605E-02           1
           4          44          32          36  0.1230526               1
          12          22          19          20  0.2057426               1
          23          33          25          26  0.1739159               1
          11          21          19          20  0.1820154               1
          22          32          25          26  0.1238152               1
          22          52          46          49  0.1668569               1
           3          33          12          15  0.1029163               1
          21          41          31          33  0.1008947               1
          15          35          31          33  0.2268022               1
          26          46          32          34  0.1009582               1
          20          40          32          34  0.1070869               1
           6          46          14          18  0.1337265               1
           2          42          10          14  0.1408355               1
           4          54          34          39  9.2660695E-02           1
           8          58          38          43  8.2488045E-02           1
          24          54          33          36  0.1029782               1
          18          48          33          36  9.5304996E-02           1
          11          41          32          35  0.1297367               1
           2          42          14          18  0.1035070               1
           6          46          18          22  0.1161192               1
          21          51          33          36  9.7244777E-02           1
          15          45          33          36  0.1021670               1
           4          14          10          11  0.1513687               1
          14          64          54          59  0.1979215               1
          50          60          56          57  0.1058728               1
           7          17          15          16  0.1079593               1
          10          60          20          25  0.1124604               1
          49          59          56          57  0.1436828               1
          54          64          56          57  0.1644990               1
          54          64          61          62  0.1238390               1
          14          54          34          38  8.7635614E-02           1
          19          59          35          39  8.3291985E-02           1
           4          14           5           6  0.1767141               1
          11          41          14          17  0.2220363               1
          14          54          38          42  8.5001513E-02           1
           2          22          16          18  0.1584119               1
          34          44          36          37  0.1464977               1
          34          44          41          42  0.1289571               1
          17          57          21          25  0.2049764               1
          40          50          42          43  0.1205321               1
          33          43          41          42  8.6808905E-02           1
          33          43          36          37  0.1039508               1
          12          42          18          21  0.1659424               1
          39          49          42          43  8.7189235E-02           1
           4          24           6           8  0.2101474               1
           4          24          20          22  0.2273331               1
          36          46          40          41  8.1249453E-02           1
           6          26          22          24  0.2148061               1
          38          48          42          43  8.1239007E-02           1
           2          62          26          32  0.1007675               1
           1          11           7           8  0.1108453               1
